id,symbol,date,open,low,high,close,volume,rsi
1063203,TSLA,2024-07-12 09:30:00,249.67,249.09,250.98,250.95,11905338,48.57293173753539
1063205,TSLA,2024-07-12 08:30:00,249.57,248.8,251.3,249.67,12388654,46.03988163591031
1063207,TSLA,2024-07-12 07:30:00,249.13,248.6,251.84,249.52,19368372,45.75810129179211
1063209,TSLA,2024-07-12 06:30:00,246.46,245.9,251.19,249.18,29202783,45.174045723883154
1063211,TSLA,2024-07-12 05:30:00,235.8,233.09,248.0,246.47,51494818,40.58470357786115
1063212,TSLA,2024-07-11 11:30:00,240.46,238.7,243.66,239.33,17080049,25.870923645213296
1063214,TSLA,2024-07-11 10:30:00,243.73,240.27,245.69,240.47,19100147,26.825528010599328
1063216,TSLA,2024-07-11 09:30:00,248.07,241.51,248.09,243.77,20556944,29.678554649730117
1063218,TSLA,2024-07-11 08:30:00,247.31,244.32,250.91,248.07,24102592,33.90770326430513
1063220,TSLA,2024-07-11 07:30:00,261.82,241.32,262.66,247.31,55323748,32.37483012154755
1063222,TSLA,2024-07-11 06:30:00,266.26,260.51,268.15,261.82,26930587,53.82541083619427
1063224,TSLA,2024-07-11 05:30:00,263.3,262.63,271.0,266.23,44007696,65.73986162533896
1063226,TSLA,2024-07-10 11:30:00,265.5,262.0,265.65,262.63,9141632,59.08615970876625
1063228,TSLA,2024-07-10 10:30:00,266.03,263.95,266.79,265.5,12554905,68.6526705787044
1063230,TSLA,2024-07-10 09:30:00,265.24,264.7,267.59,266.01,15569997,70.47761564892726
1063232,TSLA,2024-07-10 08:30:00,263.63,263.5,265.65,265.21,13673660,69.32650259581362
1063234,TSLA,2024-07-10 07:30:00,262.0,261.63,264.5,263.7,13751292,67.15068579644557
1063236,TSLA,2024-07-10 06:30:00,259.18,257.86,263.4,261.95,21396912,64.52602950051228
1063238,TSLA,2024-07-10 05:30:00,262.8,259.16,265.72,259.18,35932808,59.969651652954106
1063240,TSLA,2024-07-09 11:30:00,262.6,261.43,263.36,262.63,10735375,70.05608519810937
1063242,TSLA,2024-07-09 10:30:00,262.95,261.75,264.13,262.6,15323867,70.01661844618475
1063244,TSLA,2024-07-09 09:30:00,260.5,260.2,265.61,262.97,18316126,71.05617376328834
1063246,TSLA,2024-07-09 08:30:00,264.23,260.11,264.98,260.47,24952527,68.18354827091083
1063248,TSLA,2024-07-09 07:30:00,258.71,257.91,264.74,264.27,27271599,78.89529426220803
1063250,TSLA,2024-07-09 06:30:00,256.01,254.74,259.88,258.71,22459356,73.39034028167532
1063252,TSLA,2024-07-09 05:49:00,253.86,253.86,253.86,253.86,0,66.53806306700426
1063254,TSLA,2024-07-09 05:30:00,251.0,250.3,258.2,256.08,35702584,74.43434649818097
1063256,TSLA,2024-07-08 11:30:00,252.87,249.86,254.35,252.87,13431331,69.76498713473288
1063258,TSLA,2024-07-08 10:30:00,251.82,250.57,253.56,252.88,14049069,69.80073069815484
1063260,TSLA,2024-07-08 09:30:00,251.93,250.81,253.02,251.84,14895390,68.27956945916821
1063262,TSLA,2024-07-08 08:30:00,256.14,248.8,256.38,251.93,23288353,68.5484927425368
1063264,TSLA,2024-07-08 07:30:00,256.29,255.63,259.44,256.14,23468504,82.17405548418473
1063266,TSLA,2024-07-08 06:30:00,250.51,250.37,256.76,256.26,24856400,82.59522130449466
1063268,TSLA,2024-07-08 05:30:00,247.71,244.57,254.14,250.52,36368815,77.66775100801631
1063270,TSLA,2024-07-05 11:30:00,250.54,249.48,252.0,251.96,12339450,82.9714295230503
1063272,TSLA,2024-07-05 10:30:00,249.19,248.27,251.58,250.52,15135703,81.85635604614069
1063274,TSLA,2024-07-05 09:30:00,246.63,246.4,250.31,249.22,16871998,80.83678613397998
1063161,TSLA,2024-07-17 09:30:00,249.9,246.91,250.8,248.02,10144108,40.68194486399899
1063163,TSLA,2024-07-17 08:30:00,247.74,247.66,250.35,249.9,11645857,43.88435970543421
1063165,TSLA,2024-07-17 07:30:00,249.93,246.55,250.4,247.76,15710051,38.961984411965545
1063166,TSLA,2024-05-17 11:30:00,177.12,176.93,177.65,177.47,4844423,58.311019898401746
1063168,TSLA,2024-05-17 10:30:00,176.19,176.14,177.35,177.12,6173971,56.78031449712409
1063170,TSLA,2024-05-17 09:30:00,177.23,176.0,177.69,176.17,7511915,52.52041416243463
1063172,TSLA,2024-05-17 08:30:00,179.27,177.12,179.63,177.22,8609720,58.22893401274803
